>MMETSP0313,Porphyridium-aerugineum-SAG1380-2,2792,Porphyridium aerugineum,,Porphyridium,Porphyridiaceae,Porphyridiales,Bangiophyceae,Rhodophyta,,Eukaryota,Rhodophyta
>MMETSP1172,Timspurckia-oligopyrenoides-CCMP3278,708627,Timspurckia oligopyrenoides,,Timspurckia,Porphyridiaceae,Porphyridiales,Bangiophyceae,Rhodophyta,,Eukaryota,Rhodophyta
>MMETSP0785,Bolidomonas-pacifica-CCMP1866,464218,Bolidomonas sp. RCC852,,Bolidomonas,Triparmaceae,Parmales,Bolidophyceae,,,Eukaryota,Bolidophyceae
>MMETSP1319,Bolidomonas-pacifica-RCC208,464218,Bolidomonas sp. RCC852,,Bolidomonas,Triparmaceae,Parmales,Bolidophyceae,,,Eukaryota,Bolidophyceae
>MMETSP1321,Bolidomonas-sp-RCC1657,464218,Bolidomonas sp. RCC852,,Bolidomonas,Triparmaceae,Parmales,Bolidophyceae,,,Eukaryota,Bolidophyceae
>MMETSP1320,Bolidomonas-sp-RCC2347,464218,Bolidomonas sp. RCC852,,Bolidomonas,Triparmaceae,Parmales,Bolidophyceae,,,Eukaryota,Bolidophyceae
>MMETSP1359,Bigelowiella-longifila-CCMP242,552665,Bigelowiella longifila,,Bigelowiella,,,Chlorarachniophyceae,,,Eukaryota,Chlorarachniophyceae
>MMETSP1358,Bigelowiella-natans-CCMP1242,753081,Bigelowiella natans CCMP2755,Bigelowiella natans,Bigelowiella,,,Chlorarachniophyceae,,,Eukaryota,Chlorarachniophyceae
>MMETSP1055,Bigelowiella-natans-CCMP1258-1,753082,Bigelowiella natans CCMP2756,Bigelowiella natans,Bigelowiella,,,Chlorarachniophyceae,,,Eukaryota,Chlorarachniophyceae
>MMETSP1054,Bigelowiella-natans-CCMP1259,753083,Bigelowiella natans CCMP2757,Bigelowiella natans,Bigelowiella,,,Chlorarachniophyceae,,,Eukaryota,Chlorarachniophyceae
>MMETSP0045,Bigelowiella-natans-CCMP2755,753084,Bigelowiella natans CCMP2758,Bigelowiella natans,Bigelowiella,,,Chlorarachniophyceae,,,Eukaryota,Chlorarachniophyceae
>MMETSP1052,Bigelowiella-natans-CCMP623,753085,Bigelowiella natans CCMP2759,Bigelowiella natans,Bigelowiella,,,Chlorarachniophyceae,,,Eukaryota,Chlorarachniophyceae
>MMETSP0109,Chlorarachnion-reptans-CCCM449,29199,Chlorarachnion reptans,,Chlorarachnion,,,Chlorarachniophyceae,,,Eukaryota,Chlorarachniophyceae
>MMETSP0110,Gymnochlora-sp-CCMP2014,629695,Gymnochlora sp. CCMP2014,,Gymnochlora,,,Chlorarachniophyceae,,,Eukaryota,Chlorarachniophyceae
>MMETSP0042,Lotharella-amoebiformis-CCMP2058,91322,Lotharella globosa,,Lotharella,,,Chlorarachniophyceae,,,Eukaryota,Chlorarachniophyceae
>MMETSP0111,Lotharella-globosa-CCCM811,91323,Lotharella globosa,,Lotharella,,,Chlorarachniophyceae,,,Eukaryota,Chlorarachniophyceae
>MMETSP0112,Lotharella-globosa-CCCM811,91324,Lotharella globosa,,Lotharella,,,Chlorarachniophyceae,,,Eukaryota,Chlorarachniophyceae
>MMETSP0041,Lotharella-globosa-LEX01,91325,Lotharella globosa,,Lotharella,,,Chlorarachniophyceae,,,Eukaryota,Chlorarachniophyceae
>MMETSP0040,Lotharella-oceanica-CCMP622,641309,Lotharella oceanica,,Lotharella,,,Chlorarachniophyceae,,,Eukaryota,Chlorarachniophyceae
>MMETSP0113,Norrisiella-sphaerica-BC52,552664,Norrisiella sphaerica,,Norrisiella,,,Chlorarachniophyceae,,,Eukaryota,Chlorarachniophyceae
>MMETSP1318,Partenskyella-glossopodia-RCC365,552666,Partenskyella glossopodia,,Partenskyella,,,Chlorarachniophyceae,,,Eukaryota,Chlorarachniophyceae
>MMETSP0804,Tetraselmis-astigmatica-CCMP880,1074897,Tetraselmis astigmatica,,Tetraselmis,Chlorodendraceae,Chlorodendrales,Chlorodendrophyceae,Chlorophyta,Viridiplantae,Eukaryota,Chlorophyta
>MMETSP0491,Tetraselmis-chuii-PLY429,63592,Tetraselmis chuii,,Tetraselmis,Chlorodendraceae,Chlorodendrales,Chlorodendrophyceae,Chlorophyta,Viridiplantae,Eukaryota,Chlorophyta
>MMETSP0419,Tetraselmis-sp-GSL018,63593,Tetraselmis chuii,,Tetraselmis,Chlorodendraceae,Chlorodendrales,Chlorodendrophyceae,Chlorophyta,Viridiplantae,Eukaryota,Chlorophyta
>MMETSP0817,Tetraselmis-striata-LANL1001,63594,Tetraselmis chuii,,Tetraselmis,Chlorodendraceae,Chlorodendrales,Chlorodendrophyceae,Chlorophyta,Viridiplantae,Eukaryota,Chlorophyta
>MMETSP0818,Tetraselmis-striata-LANL1001,3165,Tetraselmis striata,,Tetraselmis,Chlorodendraceae,Chlorodendrales,Chlorodendrophyceae,Chlorophyta,Viridiplantae,Eukaryota,Chlorophyta
>MMETSP0819,Tetraselmis-striata-LANL1001,3166,Tetraselmis striata,,Tetraselmis,Chlorodendraceae,Chlorodendrales,Chlorodendrophyceae,Chlorophyta,Viridiplantae,Eukaryota,Chlorophyta
>MMETSP0820,Tetraselmis-striata-LANL1001,3167,Tetraselmis striata,,Tetraselmis,Chlorodendraceae,Chlorodendrales,Chlorodendrophyceae,Chlorophyta,Viridiplantae,Eukaryota,Chlorophyta
>MMETSP1392,Chlamydomonas-chlamydogama-SAG11-48b,225041,Chlamydomonas chlamydogama,,Chlamydomonas,Chlamydomonadaceae,Chlamydomonadales,Chlorophyceae,Chlorophyta,Viridiplantae,Eukaryota,Chlorophyta
>MMETSP0063,Chlamydomonas-euryale-CCMP219,1486919,Chlamydomonas euryale,,Chlamydomonas,Chlamydomonadaceae,Chlamydomonadales,Chlorophyceae,Chlorophyta,Viridiplantae,Eukaryota,Chlorophyta
>MMETSP1391,Chlamydomonas-leiostraca-SAG11-49,1034604,Chlamydomonas leiostraca,,Chlamydomonas,Chlamydomonadaceae,Chlamydomonadales,Chlorophyceae,Chlorophyta,Viridiplantae,Eukaryota,Chlorophyta
>MMETSP1180,Chlamydomonascf-sp-CCMP681,1034605,Chlamydomonas leiostraca,,Chlamydomonas,Chlamydomonadaceae,Chlamydomonadales,Chlorophyceae,Chlorophyta,Viridiplantae,Eukaryota,Chlorophyta
>MMETSP1126,Dunaliella-tertiolecta-CCMP1320,3047,Dunaliella tertiolecta,,Dunaliella,Dunaliellaceae,Chlamydomonadales,Chlorophyceae,Chlorophyta,Viridiplantae,Eukaryota,Chlorophyta
>MMETSP1127,Dunaliella-tertiolecta-CCMP1320,3048,Dunaliella tertiolecta,,Dunaliella,Dunaliellaceae,Chlamydomonadales,Chlorophyceae,Chlorophyta,Viridiplantae,Eukaryota,Chlorophyta
>MMETSP1128,Dunaliella-tertiolecta-CCMP1320,3049,Dunaliella tertiolecta,,Dunaliella,Dunaliellaceae,Chlamydomonadales,Chlorophyceae,Chlorophyta,Viridiplantae,Eukaryota,Chlorophyta
>MMETSP0052,Polytomella-parva-SAG63-3,51329,Polytomella parva,,Polytomella,Chlamydomonadaceae,Chlamydomonadales,Chlorophyceae,Chlorophyta,Viridiplantae,Eukaryota,Chlorophyta
>MMETSP1095,Chromulina-nebulosa-UTEXLB2642,96789,Chromulina nebulosa,,Chromulina,Chromulinaceae,Chromulinales,Chrysophyceae,,,Eukaryota,Chrysophyceae
>MMETSP0019,Dinobryon-sp-UTEXLB2267,1955563,Dinobryon sp.,,Dinobryon,Dinobryaceae,Chromulinales,Chrysophyceae,,,Eukaryota,Chrysophyceae
>MMETSP0020,Dinobryon-sp-UTEXLB2267,1955563,Dinobryon sp.,,Dinobryon,Dinobryaceae,Chromulinales,Chrysophyceae,,,Eukaryota,Chrysophyceae
>MMETSP0812,Dinobryon-sp-UTEXLB2267,1955563,Dinobryon sp.,,Dinobryon,Dinobryaceae,Chromulinales,Chrysophyceae,,,Eukaryota,Chrysophyceae
>MMETSP1105,Ochromonas-sp-BG-1,1955567,Ochromonas sp.,,Ochromonas,Chromulinaceae,Chromulinales,Chrysophyceae,,,Eukaryota,Chrysophyceae
>MMETSP0004,Ochromonas-sp-CCMP1393,1955567,Ochromonas sp.,,Ochromonas,Chromulinaceae,Chromulinales,Chrysophyceae,,,Eukaryota,Chrysophyceae
>MMETSP0005,Ochromonas-sp-CCMP1393,1955567,Ochromonas sp.,,Ochromonas,Chromulinaceae,Chromulinales,Chrysophyceae,,,Eukaryota,Chrysophyceae
>MMETSP1177,Ochromonas-sp-CCMP1899,1955567,Ochromonas sp.,,Ochromonas,Chromulinaceae,Chromulinales,Chrysophyceae,,,Eukaryota,Chrysophyceae
>MMETSP1103,Paraphysomonas-bandaiensis-CaronLabIsolate,89770,Paraphysomonas bandaiensis,,Paraphysomonas,Paraphysomonadaceae,Chromulinales,Chrysophyceae,,,Eukaryota,Chrysophyceae
>MMETSP0103,Paraphysomonas-imperforata-PA2,37642,Paraphysomonas imperforata,,Paraphysomonas,Paraphysomonadaceae,Chromulinales,Chrysophyceae,,,Eukaryota,Chrysophyceae
>MMETSP0104,Paraphysomonas-imperforata-PA2,37643,Paraphysomonas imperforata,,Paraphysomonas,Paraphysomonadaceae,Chromulinales,Chrysophyceae,,,Eukaryota,Chrysophyceae
>MMETSP1098,Spumella-elongata-CCAP955-1,89044,Spumella elongata,,Spumella,Chromulinaceae,Chromulinales,Chrysophyceae,,,Eukaryota,Chrysophyceae
>MMETSP0127,Platyophrya-macrostoma-WH,938130,Platyophrya macrostoma,,Platyophrya,Platyophryidae,Cyrtolophosidida,Colpodea,,,Eukaryota,Colpodea
>MMETSP0312,Compsopogon-coeruleus-SAG36-94,31354,Compsopogon caeruleus,,Compsopogon,Compsopogonaceae,Compsopogonales,Compsopogonophyceae,Rhodophyta,,Eukaryota,Rhodophyta
>MMETSP1450,Madagascaria-erythrocladiodes-CCMP3234,753684,Madagascaria erythrocladioides,,Madagascaria,Erythrotrichiaceae,Erythropeltidales,Compsopogonophyceae,Rhodophyta,,Eukaryota,Rhodophyta
>MMETSP0372,Lankesteria-abbottii-GrapplerInletBC,340204,Lankesteria abbotti,,Lankesteria,Lecudinidae,Eugregarinorida,Conoidasida,Apicomplexa,,Eukaryota,Apicomplexa
>MMETSP1449,Attheya-septentrionalis-CCMP2084,420275,Attheya septentrionalis,,Attheya,Attheyaceae,Chaetocerotales,Coscinodiscophyceae,Bacillariophyta,,Eukaryota,Bacillariophyta
>MMETSP1064,Aulacoseira-subarctica-CCAP1002-5,202472,Aulacoseira subarctica,,Aulacoseira,Aulacoseiraceae,,Coscinodiscophyceae,Bacillariophyta,,Eukaryota,Bacillariophyta
>MMETSP1435,Chaetoceros-brevis-CCMP164,426625,Chaetoceros brevis,,Chaetoceros,Chaetocerotaceae,Chaetocerotales,Coscinodiscophyceae,Bacillariophyta,,Eukaryota,Bacillariophyta
>MMETSP1336,Chaetoceros-cf-neogracile-RCC1993,240365,Chaetoceros neogracilis,,Chaetoceros,Chaetocerotaceae,Chaetocerotales,Coscinodiscophyceae,Bacillariophyta,,Eukaryota,Bacillariophyta
